Feature,Feature_Original,SHAP Importance,PC
Week 3 Sample,SampleCollectionWeek_Week.3,10.030954385961008,PC2
ZCH Location,Location_ZCH,8.724777382028346,PC2
Stool Sample,SampleType_Stool,4.864635706801539,PC2
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,1.9721217039467174,PC2
Groin Sample,SampleType_Groin,1.8659402744237938,PC2
PICC Upper Extremity,PICC_PICC_UE,1.493220263524385,PC2
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,1.383045449036582,PC2
PICC Lower Extremity,PICC_PICC_LE,1.3699554769896736,PC2
Vaginal Delivery,Delivery_Vaginal,0.7717313052057158,PC2
BSI_30D: No.BSI,BSI_30D_No.BSI,0.7612329721466459,PC2
UVC Present,UVC_UVC,0.6578589095196662,PC2
PICC Peripheral UE,PICC_peripheral_UE,0.6448931113791313,PC2
Mother's Milk,AnyMilk_Mother,0.630625678617503,PC2
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.4932000066504622,PC2
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,0.4897693133967182,PC2
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.43080833166694565,PC2
NEC_30D: No.NEC,NEC_30D_No.NEC,0.41502185087686316,PC2
No Milk,AnyMilk_No.Milk,0.3395436765239548,PC2
BSI_30D: PICC,BSI_30D_PICC,0.18452964987638204,PC2
PICC Axillary,PICC_axillary,0.1451691310898402,PC2
PICC Neck,PICC_PICC_Neck,0.10186559368356927,PC2
BSI_30D: BSI ,BSI_30D_BSI ,0.038205975783027195,PC2
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.036151093989810416,PC2
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.025108523262454652,PC2
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.0,PC2
